date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:04	66309/66309	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	C:/xampp/htdocs/templates/material-dashboard%20B4/demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	(from )
22:28:05	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202019%2003:28:04%20GMT	https://demos.creative-tim.com/robots.txt		(from )
22:28:05	2446/2446	---M--	200	added ('OK')	image/png	etag:%225d233600-98e%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	C:/xampp/htdocs/templates/material-dashboard%20B4/demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:05	2761/2761	---M--	200	added ('OK')	image/png	etag:%225d233600-ac9%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	C:/xampp/htdocs/templates/material-dashboard%20B4/demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:06	171778/171778	---M--	200	added ('OK')	image/jpeg	etag:%2249c99bc1b2c088d94746d3b55081f2ec%22	https://s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	C:/xampp/htdocs/templates/material-dashboard%20B4/s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:06	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/xampp/htdocs/templates/material-dashboard%20B4/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:07	510343/510343	---M-Z	200	added ('OK')	text/css	etag:W/%225d233600-7c987%22	https://demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min.css?v=2.1.0	C:/xampp/htdocs/templates/material-dashboard%20B4/demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.minf066.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:07	847/847	---M-Z	200	added ('OK')	text/css	etag:W/%225d233600-34f%22	https://demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	C:/xampp/htdocs/templates/material-dashboard%20B4/demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:08	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2015%20Aug%202019%2003:28:07%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/xampp/htdocs/templates/material-dashboard%20B4/www.googletagmanager.com/gtm.75445.delayed	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:09	189310/189310	---M--	200	added ('OK')	image/jpeg	etag:%225d233601-2e37e%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-1.jpg	C:/xampp/htdocs/templates/material-dashboard%20B4/demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-1.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:09	85214/85214	---M--	200	added ('OK')	image/jpeg	etag:%225d233600-14cde%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/faces/avatar.jpg	C:/xampp/htdocs/templates/material-dashboard%20B4/demos.creative-tim.com/material-dashboard-pro/assets/img/faces/avatar.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:10	20532/20532	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/pricing.html	C:/xampp/htdocs/templates/material-dashboard%20B4/demos.creative-tim.com/material-dashboard-pro/examples/pages/pricing.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
22:28:10	63923/63923	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2012:24:33%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/rtl.html	C:/xampp/htdocs/templates/material-dashboard%20B4/demos.creative-tim.com/material-dashboard-pro/examples/pages/rtl.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
